Category;KNMI'14-klimaatscenario's;KNMI'14-klimaatscenario's 2050 (WH-range) (low);KNMI'14-klimaatscenario's 2050 (WH-range) (high);KNMI'14-klimaatscenario's 2050 (WH);KNMI'14-klimaatscenario's 2085 (WH-period);KNMI'14-klimaatscenario's 2085 (WH-range) (low);KNMI'14-klimaatscenario's 2085 (WH-range) (high);KNMI'14-klimaatscenario's 2085 (WH);KNMI'14-klimaatscenario's 2050 (WL-period);KNMI'14-klimaatscenario's 2050 (WL-range) (low);KNMI'14-klimaatscenario's 2050 (WL-range) (high);KNMI'14-klimaatscenario's 2050 (WL);KNMI'14-klimaatscenario's 2085 (WL-period);KNMI'14-klimaatscenario's 2085 (WL-range) (low);KNMI'14-klimaatscenario's 2085 (WL-range) (high);KNMI'14-klimaatscenario's 2085 (WL);KNMI'14-klimaatscenario's 2050 (GH-period);KNMI'14-klimaatscenario's 2050 (GH-range) (low);KNMI'14-klimaatscenario's 2050 (GH-range) (high);KNMI'14-klimaatscenario's 2050 (GH);KNMI'14-klimaatscenario's 2085 (GH-period);KNMI'14-klimaatscenario's 2085 (GH-range) (low);KNMI'14-klimaatscenario's 2085 (GH-range) (high);KNMI'14-klimaatscenario's 2085 (GH);KNMI'14-klimaatscenario's 2050 (GL-period);KNMI'14-klimaatscenario's 2050 (GL-range) (low);KNMI'14-klimaatscenario's 2050 (GL-range) (high);KNMI'14-klimaatscenario's 2050 (GL);KNMI'14-klimaatscenario's 2085 (GL-period);KNMI'14-klimaatscenario's 2085 (GL-range) (low);KNMI'14-klimaatscenario's 2085 (GL-range) (high);KNMI'14-klimaatscenario's 2085 (GL);Verwachting;Verwachting 2023;Sum;Trendline;Normaal ;Normaal 1960;Normaal 1990;Normaal 2020
1956;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;780;770;;740;;
1957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;838;772;;740;;
1958;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;826;773;;740;;
1959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;536;774;;740;;
1960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;937;774;;740;;
1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;925;774;;;779;
1962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;733;773;;;779;
1963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;705;773;;;779;
1964;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;697;772;;;779;
1965;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;960;771;;;779;
1966;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1002;771;;;779;
1967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;811;770;;;779;
1968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;853;770;;;779;
1969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;718;770;;;779;
1970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;824;771;;;779;
1971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;584;772;;;779;
1972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;667;772;;;779;
1973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;737;772;;;779;
1974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;872;772;;;779;
1975;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;664;772;;;779;
1976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;528;772;;;779;
1977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;754;772;;;779;
1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;659;772;;;779;
1979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;820;772;;;779;
1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;805;772;;;779;
1981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;888;774;;;779;
1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;775;;;779;
1983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;814;778;;;779;
1984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;859;782;;;779;
1985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;801;787;;;779;
1986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;797;792;;;779;
1987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;857;798;;;779;
1988;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;923;803;;;779;
1989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654;809;;;779;
1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;765;815;;;779;
1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;665;820;;;;851
1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;845;825;;;;851
1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;904;829;;;;851
1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;930;833;;;;851
1995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;783;836;;;;851
1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;631;839;;;;851
1997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;686;842;;;;851
1998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1109;844;;;;851
1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;904;846;;;;851
2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;954;848;;;;851
2001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1002;850;;;;851
2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;955;852;;;;851
2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;654;854;;;;851
2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;902;854;;;;851
2005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;829;854;;;;851
2006;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;804;855;;;;851
2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;962;855;;;;851
2008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;883;856;;;;851
2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;813;856;;;;851
2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;866;856;;;;851
2011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;845;857;;;;851
2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;941;857;;;;851
2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;804;857;;;;851
2014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;826;858;;;;851
2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;901;858;;;;851
2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;837;858;;;;851
2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;914;858;;;;851
2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;648;858;;;;851
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;869;858;;;;851
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;869;857;;;;851
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;883;857;;;;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;799;857;;;;
2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1085;947;;857;;;;
2035;882;847;917;;;;;;886;851;921;;;;;;861;826;896;;;;;;873;838;908;;;;;;;;;;;;;
2050;;;;882;;;;;;;;886;;;;;;;;861;;;;;;;;873;;;;;;;;;;;;
2065;882;847;917;;;;;;886;851;921;;;;;;861;826;896;;;;;;873;838;908;;;;;;;;;;;;;
2070;;;;;899;864;934;;;;;;899;864;934;;;;;;882;847;917;;;;;;882;847;917;;;;;;;;;
2085;;;;;;;;899;;;;;;;;899;;;;;;;;882;;;;;;;;882;;;;;;;;
2100;;;;;899;864;934;;;;;;899;864;934;;;;;;882;847;917;;;;;;882;847;917;;;;;;;;;
